price_date,ticker,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
9/26/2012,JN2,118.1290909,118.9889091,116.8390909,117.8727273,4836363.636,110.3541291,111.1573562,109.1490337,110.1146387,4836363.636
9/27/2012,JN2,117.7963636,118.7525455,116.5690909,117.5990909,4805927.273,110.0433011,110.9365494,108.8968044,109.8590124,4805927.273
9/28/2012,JN2,117.5254545,118.2034545,116.1645455,116.9636364,4659754.545,109.7902226,110.4235983,108.5188851,109.2653819,4659754.545
10/1/2012,JN2,117.1081818,117.878,115.7936364,116.5545455,4582563.636,109.4004137,110.1195644,108.1723883,108.8832163,4582563.636
10/2/2012,JN2,116.8563636,117.6170909,115.5736364,116.3136364,4590109.091,109.1651696,109.8758277,107.9668682,108.6581632,4590109.091
10/3/2012,JN2,116.6918182,117.4176091,115.3436364,116.1345455,4590390.909,109.0114541,109.6894752,107.7520062,108.4908596,4590390.909
10/4/2012,JN2,116.5363636,117.4167,115.2445455,116.2145455,4492654.545,108.8662312,109.688626,107.6594372,108.5655942,4492654.545
10/5/2012,JN2,116.8263636,117.7421818,115.4572727,116.3672727,4446309.091,109.1371441,109.9926854,107.8581633,108.7082694,4446309.091
10/8/2012,JN2,116.8190909,117.8640091,115.6018182,116.6163636,3896463.636,109.13035,110.1064943,107.9931952,108.9409658,3896463.636
10/9/2012,JN2,117.0963636,118.1649182,115.9763636,116.8918182,3856745.455,109.3893734,110.3875983,108.343089,109.1982906,3856745.455
10/10/2012,JN2,117.3118182,118.4009182,116.4818182,117.49,3700554.545,109.5906472,110.6080654,108.8152757,109.7571016,3700554.545
10/11/2012,JN2,118.0181818,119.2463727,117.2863636,118.3,3657109.091,110.2505198,111.3978742,109.566868,110.5137894,3657109.091
10/12/2012,JN2,118.7345455,119.8300091,117.8472727,118.7518182,3671290.909,110.9197341,111.9430971,110.0908595,110.93587,3671290.909
10/15/2012,JN2,119.3427273,120.7027364,118.5309091,119.7354545,3922045.455,111.4878869,112.7583836,110.7295006,111.8547659,3922045.455
10/16/2012,JN2,120.03,121.3345545,119.0718182,120.3136364,4356345.455,112.1299251,113.3486171,111.2348084,112.3948932,4356345.455
10/17/2012,JN2,120.5545455,121.9536455,119.6136364,121.0109091,4631900,112.6199463,113.926961,111.7409655,113.0462732,4631900
10/18/2012,JN2,121.1163636,122.7091,120.2472727,121.6690909,4844509.091,113.144787,114.6326934,112.3328975,113.6611351,4844509.091
10/19/2012,JN2,121.6436364,123.1464636,120.71,122.0072727,5038436.364,113.6373559,115.0412709,112.7651692,113.9770587,5038436.364
10/22/2012,JN2,121.7518182,123.4155545,121.0136364,122.3218182,5011590.909,113.7384175,115.2926509,113.048821,114.2709015,5011590.909
10/23/2012,JN2,121.9509091,123.5919,121.0109091,122.28,5345963.636,113.9244048,115.4573897,113.0462732,114.2318357,5345963.636
10/24/2012,JN2,121.9909091,123.6473545,121.0790909,122.2927273,5382454.545,113.9617721,115.5091944,113.1099675,114.2437253,5382454.545
